Elapsedtime,Comment
00:01:11.219,Null
00:01:33.348,Lift up
00:01:53.901,Null
00:02:33.327,Stairs up
00:03:34.714,Null
00:04:15.325,Lift down
00:04:52.818,Null
00:05:20.109,Lift up
00:05:42.475,Null
00:07:14.066,Stairs down
00:07:25.575,Null
00:07:42.414,Stairs up
00:08:47.651,Null
00:09:06.854,Lift down
00:09:43.710,Null
00:10:06.690,Lift up
00:10:24.069,Null
00:11:03.475,Stairs down
00:11:55.191,Null
00:12:27.657,Lift up
00:12:59.800,Null
00:13:21.903,Lift down
00:13:53.019,Null
00:14:12.318,Lift up
00:14:27.225,Null
00:15:07.655,Stairs down
00:16:09.194,Null
00:16:26.942,Lift up
00:17:00.195,Null
00:17:27.006,Lift up
00:17:45.917,Null
00:20:21.691,Stairs down
00:20:37.655,Null
00:22:31.635,Stairs up
00:22:50.659,Null
00:23:33.550,Stairs down
00:23:51.719,Null
00:24:05.358,Stairs up
00:25:03.446,Null
00:25:21.271,Lift up
00:25:53.447,Null
00:26:11.622,Lift down
00:26:26.447,Null
00:26:53.254,Lift up
00:30:00.369,Null
