Elapsedtime,Comment
00:00:16.684,	Null
00:01:01.878,	Lift Up 2 - 6
00:01:15.772,	Null
00:01:50.300,	Stairs Down 6 - 4
00:02:31.507,	Null
00:03:10.356,	Lift Down 4 - 3
00:03:18.973,	Null
00:04:00.901,	Stairs Up 3 - 5
00:04:21.333,	Null
00:04:35.866,	Stairs Up 5 - 6
00:04:56.921,	Null
00:05:29.578,	Lift Up 6 - 7
00:05:40.694,	Null
00:06:16.238,	Stairs Down 7 - 5
00:06:58.301,	Null
00:07:46.869,	Lift Down 5 - 2
00:08:00.322,	Null
00:08:54.951,	Lift Up 2 - 8
00:09:08.121,	Null
00:09:58.169,	Lift Down 8 - 3
00:10:16.469,	Null
00:11:06.388,	Lift Up 3 - 8
00:11:18.209,	Null
00:11:58.344,	Lift Down 8 - 5
00:12:14.504,	Null
00:13:17.588,	Stairs Up 5 - 8
00:13:51.805,	Null
00:14:45.360,	Lift Down 8 - 7
00:15:08.664,	Null
00:15:56.910,	Lift Down 7 - 2
00:16:10.122,	Null
00:18:09.347,	Stairs Up 2 - 7
00:18:35.347,	Null
00:20:11.107,	Stairs Down 7 - 3
00:20:29.057,	Null
00:22:24.169,	Lift Up 3 - 8
00:22:39.499,	Null
00:22:52.815,	Stairs Down 8 - 7
00:23:10.258,	Null
00:23:24.271,	Stairs Down 7 - 6
00:23:45.313,	Null
00:24:24.895,	Stairs Down 6 - 4
00:24:44.666,	Null
00:25:51.608,	Stairs Up 4 - 7
00:26:14.711,	Null
00:26:28.907,	Stairs Up 7 - 8
00:30:00.576,	Null
