Elapsedtime,	Comment
00:00:52.974,	Null,8
00:01:34.352,	Lift down,6
00:01:56.791,	Null
00:02:13.208,	Stairs up,7
00:02:42.150,	Null
00:04:26.137,	Stairs down,2
00:04:42.863,	Null
00:05:25.185,	Lift up,5
00:05:35.211,	Null
00:06:08.624,	Lift down,4
00:06:27.454,	Null
00:07:01.555,	Lift down,3
00:07:13.249,	Null
00:08:17.328,	Stairs up,6
00:08:30.019,	Null
00:09:45.895,	Stairs down,2
00:10:02.807,	Null
00:10:41.890,	Stairs up,4
00:10:56.623,	Null
00:11:31.564,	Stairs down, 2
00:11:55.320,	Null
00:12:36.130,	Lift up,5
00:12:43.294,	Null
00:13:23.975,	Lift down,2
00:13:36.073,	Null
00:14:20.284,	Lift up,6
00:14:36.782,	Null
00:15:12.232,	Stairs down,4
00:15:39.436,	Null
00:16:56.416,	Stairs up,8
00:17:12.084,	Null
00:18:39.488,	Stairs down,3
00:18:55.602,	Null
00:20:34.403,	Stairs up,8
00:21:15.196,	Null
00:22:03.194,	Lift down,4
00:22:13.910,	Null
00:22:51.073,	Lift down,3
00:23:00.587,	Null
00:23:36.523,	Lift up,4
00:24:00.956,	Null
00:24:14.468,	Stairs down, 3
00:24:55.293,	Null
00:25:35.703,	Lift up,4
00:25:43.135,	Null
00:26:27.197,	Lift down,2
00:26:41.449,	Null
00:27:35.059,	Lift up,6
00:27:44.222,	Null
00:28:37.826,	Lift down,2
00:28:50.379,	Null
00:30:02.759,	Stairs up, 6
00:30:18.997,	Null
