Elapsedtime,Comment
00:00:35.165,Null
00:01:13.977,Lift down 7-5
00:01:27.965,Null
00:01:41.388,Stairs up 5-6
00:01:58.509,Null
00:02:35.071,Su 6-8
00:02:52.369,Null
00:04:22.037,Sd 8-2
00:05:04.830,Null
00:05:58.675,Lu 2-7
00:06:13.081,Null
00:06:49.152,Lu 7-8
00:07:01.814,Null
00:07:39.740,Ld 8-6
00:07:54.176,Null
00:08:23.752,Su 6-8
00:08:48.988,Null
00:09:44.680,Ld 8-2
00:10:00.437,Null
00:10:45.688,Lu 2-5
00:11:10.653,Null
00:12:00.871,Sd 5-2
00:12:50.799,Null
00:13:25.928,Lu 2-3
00:13:36.820,Null
00:14:30.385,Lu 3-8
00:14:45.393,Null
00:14:57.123,Sd 8-7
00:15:14.567,Null
00:16:21.869,Sd 7-3
00:17:02.922,Null
00:17:54.675,Lu 3-7
00:18:09.205,Null
00:18:55.916,Ld 7-4
00:19:12.993,Null
00:19:58.413,Ld 4-2
00:20:32.145,Null
00:21:07.661,Lu 2-6
00:21:22.687,Null
00:22:04.563,Ld 6-4
00:22:19.934,Null
00:23:04.305,Ld 4-2
00:23:23.157,Null
00:25:18.488,Su 2-7
00:26:13.151,Null
00:26:49.722,Ld 7-6
00:27:15.110,Null
00:29:10.534,Sd 6-1
00:30:00.918,Null
