Elapsedtime,	Comment
00:00:22.818,	Null
00:01:30.874,	Lift up
00:02:05.234,	Null
00:02:38.001,	Lift down
00:02:52.869,	Null
00:03:11.232,	Stairs down
00:03:23.355,	Null
00:04:10.078,	Lift up
00:04:23.259,	Null
00:04:54.574,	Lift down
00:05:14.466,	Null
00:06:28.908,	Stairs up
00:07:09.318,	Null
00:07:53.353,	Lift down
00:08:06.014,	Null
00:08:38.029,	Lift down
00:08:55.496,	Null
00:09:27.809,	Lift up
00:09:39.183,	Null
00:10:19.618,	Stairs up
00:10:38.873,	Null
00:11:23.489,	Stairs down
00:11:38.150,	Null
00:12:10.686,	Lift up
00:12:22.025,	Null
00:12:58.451,	Lift Down
00:13:13.964,	Null
00:13:52.598,	Lift up
00:14:11.151,	Null
00:14:38.153,	Stairs down
00:15:10.246,	Null
00:15:44.487,	Lift up
00:15:56.740,	Null
00:16:41.312,	Lift down
00:16:55.558,	Null
00:19:32.388,	Stairs up
00:23:19.699,	Null
00:24:54.380,	Lift down
00:25:10.910,	Null
00:25:47.231,	Stairs up
00:26:04.703,	Null
00:27:57.503	Stairs down
00:28:50.491,	Null
00:29:46.206,	Lift up
00:30:49.531,	Null
00:30:51.291,   Null
