avg_accX,min_accX,max_accX,var_accX,std_accX,avg_accY,min_accY,max_accY,var_accY,std_accY,avg_accZ,min_accZ,max_accZ,var_accZ,std_accZ,avg_magnitude,min_magnitude,max_magnitude,var_magnitude,std_magnitude,avg_pressure,min_pressure,max_pressure,var_pressure,range_pressure,std_pressure,slope_pressure,kurtosis_pressure,Pressure_below_avg,Pressure_above_avg,skew_pressure,Label
-1.05716214,-1.272827148,-0.879882813,0.007955048,0.088957284,0.129949919,-0.580932617,0.402709961,0.040463185,0.200627356,0.128059427,-0.177856445,0.41796875,0.013814821,0.117228375,1.09773619,0.923104816,1.309061513,0.007801317,0.088093546,972.6129812,972.5573402,972.660187,0.000530584,0.10284681,0.022974025,0.000308541,-0.042520289,0.42,0.58,-0.295887156,lift down
-0.979031827,-1.227905273,-0.329589844,0.02683091,0.163365213,0.055965992,-0.299072266,0.677734375,0.061771305,0.247876449,0.007432654,-0.564575195,0.311401367,0.034105664,0.18418537,1.037387161,0.897517795,1.272426567,0.007614311,0.087027638,972.682316,972.6115191,973.1778675,0.01526745,0.566348452,0.123232462,0.001186675,5.438586655,0.8,0.2,2.500458934,lift down
-0.404687369,-0.537841797,-0.299926758,0.00282426,0.053000717,0.914773264,0.636474609,1.040893555,0.006390311,0.07972424,-0.082840458,-0.487426758,0.043579102,0.021007032,0.144547886,1.01759668,0.897517795,1.120560582,0.002011465,0.044728633,972.6469971,972.5098151,972.9531698,0.010108473,0.443354715,0.100270267,-0.000463018,1.189443681,0.66,0.34,1.151849371,lift down
-0.019431736,-0.697509766,0.859375,0.271435659,0.519577199,0.488002611,-0.916015625,1.329956055,0.439544514,0.661177499,-0.143312537,-0.647338867,0.162963867,0.05592262,0.235836156,1.001665151,0.634387493,1.428277258,0.018565291,0.135883747,972.524888,972.3402872,972.6929493,0.007240559,0.352662056,0.084859933,-0.000973183,-0.631617505,0.52,0.48,-0.322472457,lift down
-0.197150973,-0.583496094,0.988891602,0.201180613,0.447290865,0.729712723,-0.66809082,1.024902344,0.133152553,0.363891335,-0.151080558,-0.654785156,0.281860352,0.04859922,0.21984248,0.983085492,0.791834382,1.222219237,0.008581565,0.092380477,972.6305434,972.4637449,972.9236145,0.016968339,0.459869614,0.129902237,-0.000400044,-0.217398707,0.62,0.38,0.954620061,lift down
-0.42657232,-0.591552734,-0.359741211,0.001509005,0.038737249,0.923375987,0.833618164,1.006469727,0.00156676,0.039471598,-0.008231904,-0.276489258,0.189819336,0.022379426,0.149179091,1.028928307,0.956438255,1.1037045,0.001539004,0.039120412,972.7649066,972.6402107,972.9301085,0.007077602,0.289897864,0.08389316,0.001176537,-0.958149935,0.64,0.36,0.732449511,lift down
-0.474362476,-0.576049805,-0.405517578,0.00208259,0.045506307,0.906112067,0.797485352,0.979370117,0.002041119,0.045050943,-0.046673618,-0.244628906,0.302490234,0.020649889,0.143294182,1.034918216,0.938354627,1.10757123,0.001825499,0.042604989,973.0405699,972.8957115,973.1761644,0.006700159,0.280452958,0.081622944,-0.000158114,-1.112080573,0.43,0.57,-0.114914048,lift down
-0.439418248,-0.662963867,-0.274047852,0.004873803,0.069612876,0.935415737,0.786743164,1.260864258,0.004734106,0.068607971,-0.05215332,-0.186523438,0.206298828,0.008347424,0.091102821,1.041551852,0.983207275,1.356432795,0.003855467,0.061914744,973.0756174,972.9996892,973.4073503,0.005465522,0.407661017,0.073717641,0.000634311,9.846575077,0.7,0.3,3.117233041,lift down
-0.479633263,-1.136474609,0.048461914,0.175923879,0.418175134,0.615516526,0.162963867,1.029541016,0.03449099,0.185160625,-0.435476703,-0.939819336,0.237670898,0.161319928,0.400442182,1.075504848,0.742257316,1.355616932,0.011415136,0.106521273,973.1268387,972.9707696,973.9060166,0.04535612,0.935246978,0.212331172,0.002508158,6.097033347,0.8,0.2,2.639557578,lift down
-0.347116921,-0.532836914,-0.22253418,0.004802017,0.069086281,0.808281546,0.607421875,1.094360352,0.01733558,0.131265062,0.411578184,-0.17199707,0.732666016,0.085002276,0.290666666,1.021548777,0.770398237,1.247950029,0.006171859,0.078322751,973.0795007,972.8301556,973.3282766,0.012676251,0.498120932,0.11224716,0.000513957,-0.7007593,0.4,0.6,-0.258451161,lift down
-0.342021663,-0.361206055,-0.315917969,8.31E-05,0.009087106,0.672903666,0.654907227,0.693115234,5.86E-05,0.007629663,0.684975229,0.669677734,0.697387695,4.09E-05,0.006374506,1.019372289,1.010179571,1.032908313,3.10E-05,0.005548222,973.1135303,973.0934602,973.1279483,6.36E-05,0.034488098,0.007948904,-1.70E-05,-0.163578864,0.47,0.53,-0.538019449,lift down
-0.291422526,-0.626953125,0.051147461,0.018521226,0.135672023,0.759669928,-0.04675293,1.432250977,0.065820933,0.25576284,-0.179240662,-0.812988281,0.692504883,0.268365848,0.516439027,1.009389299,0.55090616,1.444478207,0.025977094,0.160675891,973.0216281,972.8253454,973.2834868,0.007323878,0.458141429,0.085315113,-0.000380161,2.511926151,0.59,0.41,1.156420188,lift down
-0.222080994,-0.338256836,-0.103515625,0.003909269,0.062328455,0.749897766,0.527954102,0.901733398,0.004625104,0.067795257,-0.620077515,-0.758911133,-0.529052734,0.00289216,0.053610483,1.002965262,0.914680948,1.116289305,0.00158848,0.039730995,973.077161,973.0476058,973.2153552,0.001475221,0.167749396,0.038288395,0.000614757,3.950804562,0.66,0.34,2.099590609,lift down
-0.226363656,-0.348266602,-0.154907227,0.00200664,0.044654448,0.755816382,0.670166016,0.828735352,0.001030204,0.031995697,-0.661434533,-0.700683594,-0.60949707,0.000423234,0.020507853,1.030913448,0.967790251,1.115127712,0.000654444,0.025501524,973.3770586,973.1552726,973.5878504,0.016603983,0.432577824,0.128450597,0.002795246,-1.14495664,0.5,0.5,-0.030750871,lift down
-0.200356259,-0.259399414,-0.087036133,0.00151825,0.038840432,0.802587424,0.715332031,0.877441406,0.001884005,0.04326667,-0.650968321,-0.704589844,-0.610351563,0.000554519,0.023473119,1.054043674,0.980023119,1.102498874,0.000978698,0.031184351,973.7953977,973.6009088,973.9286783,0.010534851,0.327769481,0.102312023,0.00222914,-1.231993059,0.46,0.54,-0.32071202,lift down
-0.193291646,-0.245239258,-0.1640625,0.000389317,0.019667367,0.786306861,0.728149414,0.831176758,0.000724502,0.02682961,-0.637047946,-0.688354492,-0.603027344,0.000586268,0.024134744,1.031035397,1.006668721,1.056019211,0.000126169,0.011196191,973.9516568,973.9273103,973.9627109,0.000105459,0.035400568,0.010236141,0.000199453,-0.221349359,0.37,0.63,-1.026876013,lift down
-0.332206874,-1.198242188,-0.011474609,0.110924529,0.331977238,0.719553301,0.053955078,0.892456055,0.035173873,0.186941019,-0.405815272,-0.668823242,0.678955078,0.157516997,0.395601767,1.041607555,0.684144087,1.326584596,0.009576471,0.097543257,973.9794769,973.9197689,974.189663,0.001980826,0.269894167,0.044362665,0.000328694,8.140038873,0.78,0.22,2.567781243,lift down
-1.154173351,-1.436035156,-0.884277344,0.019245813,0.138315778,0.184959775,-0.194335938,0.621337891,0.034178244,0.184322548,0.140359788,-0.168823242,0.412231445,0.015449213,0.123924384,1.196664722,0.975874666,1.50706282,0.022618601,0.149946544,973.9886332,973.9654772,974.0277104,0.000215587,0.06223322,0.014639107,1.74E-05,0.702001949,0.61,0.39,1.097057889,stairs down
-1.153047196,-1.67175293,-0.6484375,0.059615225,0.24354494,0.221324574,-0.087036133,0.576416016,0.02701747,0.163954316,0.076816135,-0.094726563,0.271972656,0.005415475,0.073403844,1.188242742,0.667432157,1.703736314,0.064390793,0.253111808,974.0341613,973.9833538,974.0837862,0.00091583,0.100432405,0.030186162,0.000478075,-1.248521154,0.48,0.52,-0.067495078,stairs down
-1.099110421,-1.645263672,-0.672485352,0.07642199,0.275688924,0.234951999,0.000976563,0.586914063,0.026256511,0.161595273,0.017346658,-0.185791016,0.198120117,0.010735794,0.103330193,1.140774413,0.688584567,1.673227414,0.075387301,0.273816269,974.1551877,974.0810864,974.2264564,0.001769025,0.14537004,0.041944699,0.000706657,-1.242511604,0.5,0.5,0.191161369,stairs down
-1.156911542,-1.798828125,-0.559204102,0.069570659,0.263052511,0.222271663,-0.084594727,0.656494141,0.043376268,0.207709081,0.045529601,-0.109375,0.242431641,0.007297359,0.085194637,1.198496154,0.562939816,1.820738427,0.073522013,0.270419551,974.2967662,974.2184197,974.3615858,0.00187436,0.143166141,0.043177337,0.000736477,-1.112463092,0.47,0.53,-0.384520032,stairs down
-1.165060885,-1.645263672,-0.677246094,0.053647171,0.230970704,0.259177778,-0.112670898,0.659790039,0.041140769,0.202264512,0.088947658,-0.098266602,0.336914063,0.00968615,0.098142944,1.218534706,0.719705175,1.709719246,0.051804691,0.226969776,974.4108958,974.3476748,974.4557316,0.000831039,0.108056814,0.028747111,0.000471069,-0.771092639,0.42,0.58,-0.58112216,stairs down
