Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
34:19.4,0.184112549,0.085693359,0.362792969,-0.957397461,1.027410331,954.5244176,Null
34:19.4,0.203887939,0.085693359,0.362792969,-0.957397461,1.027410331,954.5244176,Null
34:19.4,0.223846436,0.085693359,0.362792969,-0.957397461,1.027410331,954.5244176,Null
34:19.4,0.24621582,0.088256836,0.364624023,-0.953979492,1.025093566,954.5252613,Null
34:19.5,0.26385498,0.088256836,0.364624023,-0.953979492,1.025093566,954.5252613,Null
34:19.5,0.283874512,0.088256836,0.364624023,-0.953979492,1.025093566,954.5252613,Null
34:19.5,0.303741455,0.088256836,0.364624023,-0.953979492,1.025093566,954.5252613,Null
34:19.5,0.326049805,0.089355469,0.371704102,-0.952514648,1.026368596,954.5317802,Null
34:19.5,0.343780518,0.089355469,0.371704102,-0.952514648,1.026368596,954.5317802,Null
34:19.6,0.363739014,0.089355469,0.371704102,-0.952514648,1.026368596,954.5317802,Null
34:19.6,0.383758545,0.089355469,0.371704102,-0.952514648,1.026368596,954.5317802,Null
34:19.6,0.404266357,0.090942383,0.374023438,-0.951782227,1.026671055,954.5317802,Null
34:19.6,0.423736572,0.090942383,0.374023438,-0.951782227,1.026671055,954.5317802,Null
34:19.6,0.443725586,0.090942383,0.374023438,-0.951782227,1.026671055,954.5317802,Null
34:19.7,0.463745117,0.090942383,0.374023438,-0.951782227,1.026671055,954.5317802,Null
34:19.7,0.486053467,0.096923828,0.379150391,-0.953491211,1.030676834,954.5266306,Null
34:19.7,0.50378418,0.096923828,0.379150391,-0.953491211,1.030676834,954.5266306,Null
34:19.7,0.523773193,0.096923828,0.379150391,-0.953491211,1.030676834,954.5266306,Null
34:19.7,0.543792725,0.096923828,0.379150391,-0.953491211,1.030676834,954.5266306,Null
34:19.8,0.566162109,0.078857422,0.368041992,-0.975219727,1.045335791,954.573702,Null
34:19.8,0.583770752,0.078857422,0.368041992,-0.975219727,1.045335791,954.573702,Null
34:19.8,0.603790283,0.078857422,0.368041992,-0.975219727,1.045335791,954.573702,Null
