Elapsedtime,Comment
00:00:41.456,Null
00:01:27.453,Stairs down 6 - 4
00:02:09.696,Null
00:02:48.063,Lift down 3
00:03:07.261,Null
00:04:11.365,Stairs up 5
00:04:46.709,Null
00:05:06.124,Stairs up
00:05:19.396,Null
00:06:05.989,Stairs up
00:07:23.083,Null
00:07:38.583,Stairs down
00:07:59.863,Null
00:10:04.537,Stairs down
00:10:31.794,Null
00:11:21.928,Lift up
00:11:42.164,Null
00:13:48.310,Stairs down
00:16:35.644,Null
00:18:09.458,Stairs up
00:18:51.138,Null
00:19:22.095,Lift up
00:19:47.348,Null
00:20:41.151,Stairs up
00:22:39.876,Null
00:23:29.526,Stairs down
00:23:41.027,Null
00:24:24.552,Stairs down
00:25:06.796,Null
00:25:47.606,Lift up
00:26:15.602,Null
00:28:14.503,stairs up
00:30:04.181,Null
