Elapsedtime,	Comment
00:00:18.713,	N
00:00:56.000,	Stairs Up 5 - 7
00:01:18.121,	N
00:01:33.803,	Stairs Up 7 - 8
00:02:34.868,	N
00:03:20.947,	Lift Down 8 - 4
00:03:33.513,	N
00:04:09.445,	Lift Up 4 - 6
00:04:24.493,	N
00:05:09.985,	Stairs Down 6 - 4
00:05:34.478,	N
00:06:28.965,	Stairs Down 4 - 2
00:06:57.246,	N
00:07:45.507,	Lift Up 2 - 5
00:07:58.635,	N
00:08:44.681,	Lift Up 5 - 8
00:09:01.785,	N
00:11:31.093,	Stairs Down 8 - 2
00:11:48.723,	N
00:12:11.652,	Stairs Up 2 - 3
00:12:35.925,	N
00:13:49.468,	Stairs Up 3 - 6
00:17:13.930,	N
00:17:49.050,	Lift Up 6 - 8
00:18:01.776,	N
00:18:54.247,	Stairs Down  8 - 6
00:19:10.948,	N
00:19:57.281,	Stairs Down  6 - 4
00:20:33.235,	N
00:21:13.172,	Lift Up 4 - 6
00:21:30.235,	N
00:22:17.393,	Stairs Down  6 - 4
00:22:55.130,	N
00:23:27.891,	Lift Up 4 - 5
00:23:51.801,	N
00:24:28.204,	Lift Down 5 - 2
00:24:44.407,	N
00:25:03.790,	Stairs Up 2 - 3
00:25:18.797,	N
00:25:37.134,	Stairs Down 3 - 2
00:25:53.983,	N
00:27:02.984,	Stairs Up 2 - 5
00:28:58.325,	N
00:29:44.272,	Stairs Up 5 - 7
00:30:02.803,	N
