ElapseDowntime,Comment
00:00:58.219,Null
00:01:36.348,Lift Up 5 - 6
00:01:53.901,Null
00:02:33.327,Stairs Up 6 - 8
00:03:17.714,Null
00:04:19.325,Lift Down 8 - 2
00:04:35.818,Null
00:05:22.109,Lift Up 2 - 6
00:05:42.475,Null
00:07:14.066,Stairs Down 6 - 2
00:07:25.575,Null
00:07:42.414,Stairs Up 2 - 3
00:08:30.651,Null
00:09:08.854,Lift Down 3 - 2
00:09:27.710,Null
00:10:09.690,Lift Up 2 - 5
00:10:24.069,Null
00:11:03.475,Stairs Down 5 - 3
00:11:40.191,Null
00:12:30.657,Lift Up 3 - 7
00:12:42.800,Null
00:13:25.903,Lift Down 7 - 5
00:13:37.019,Null
00:14:15.318,Lift Up 5 - 6
00:14:27.225,Null
00:15:07.655,Stairs Down 6 - 4
00:15:52.194,Null
00:16:31.942,Lift Up 4 - 5
00:16:44.195,Null
00:17:31.006,Lift Up 5 - 8
00:17:45.917,Null
00:20:21.691,Stairs Down 8 - 2
00:20:37.655,Null
00:22:31.635,Stairs Up 2 - 6
00:22:50.659,Null
00:23:33.550,Stairs Down 6 - 4
00:23:51.719,Null
00:24:05.358,Stairs Up 4 - 5
00:24:47.446,Null
00:25:25.271,Lift Up 5 - 6
00:25:36.447,Null
00:26:15.622,Lift Down 6 - 5
00:26:57.254,Lift Up 5 - 8
00:30:00.369,Null
