Elapsedtime,Comment
00:22.8,N
01:30.9,LU
02:05.2,N
02:38.0,LD
02:52.9,N
03:11.2,SD
03:23.4,N
04:10.1,LU
04:23.3,N
04:54.6,LD
05:14.5,N
06:28.9,SU
07:09.3,N
07:53.4,LD
08:06.0,N
08:38.0,LD
08:55.5,N
09:27.8,LU
09:39.2,N
10:19.6,SU
10:38.9,N
11:23.5,SD
11:38.2,N
12:10.7,LU
12:22.0,N
12:58.5,LD
13:14.0,N
13:52.6,LU
14:11.2,N
14:38.2,SD
15:10.2,N
15:44.5,LU
15:56.7,N
16:41.3,LD
16:55.6,N
19:32.4,SU
23:19.7,N
24:54.4,LD
25:10.9,N
25:47.2,SU
26:04.7,N
27:57.5,SD
28:50.5,N
29:46.2,LU
30:49.5,N
30:51.3,N
