Elapsedtime,Comment
00:00:53.3,Null
00:01:08.3,Lift down
00:01:36.4,Null
00:01:55.5,Lift down
00:02:20.7,Null
00:03:00.2,Stairs down
00:03:13.2,Null
00:04:25.6,Stairs up
00:04:39.1,Null
00:05:01.7,Stairs down
00:05:36.4,Null
00:05:59.1,Lift down
00:06:27.3,Null
00:09:39.8,Stairs up
00:14:33.3,Null
00:16:25.9,Stairs down
00:17:01.5,Null
00:17:30.0,Lift up
00:17:42.5,Null
00:18:01.0,Lift up
00:18:25.8,Null 
00:18:47.4,Stairs up
00:19:38.6,Null
00:20:14.9,Lift down
00:20:45.5,Null
00:21:06.6,Lift up
00:21:25.5,Null
00:21:41.8,Stairs down
00:21:54.9,Null
00:22:51.5,Stairs up
00:23:42.9,Null
00:24:05.9,Lift up
00:24:42.8,Null
00:25:06.9,Lift down
00:26:51.5,Null
00:27:15.0,Lift up
00:30:22.6,Null
